Date,Top Performers,Bottom Performers
2009-09,"INCY, CMI, EMN, AFL, LNC, MHK, JBHT, FDS, TTWO, APD","COO, PNW, EIX, ESS, ADM, AVY, HBAN, CINF, BRO, AEE"
2009-10,"INCY, CMI, JBHT, EMN, FDS, AFL, LNC, MHK, APD, TTWO","DHI, AVY, COO, PNW, ESS, ADM, HBAN, CINF, BRO, AEE"
2009-11,"INCY, CMI, AFL, FDS, LNC, JBHT, EMN, MHK, TTWO, APD","POOL, RHI, EIX, COO, PNW, ESS, CINF, BRO, HBAN, AEE"
2009-12,"INCY, CMI, AFL, EMN, FDS, JBHT, SJM, APD, LNC, AOS","VMC, ESS, HOLX, CINF, POOL, RHI, DHI, BRO, AEE, HBAN"
2010-01,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-02,"INCY, CMI, AFL, EMN, SJM, LNC, FDS, JBHT, ROK, SNA","EIX, HBAN, DHI, CINF, ESS, AVY, HOLX, VMC, BRO, AEE"
2010-03,"INCY, CMI, AFL, EMN, JBHT, SJM, ROK, FDS, MHK, COO","ESS, HOLX, CINF, EIX, HBAN, FE, AVY, BRO, AEE, VMC"
2010-04,"INCY, CMI, AFL, EMN, AOS, JBHT, LNC, FDS, ROK, ROL","CINF, HBAN, TTWO, HOLX, AVY, EIX, BRO, FE, AEE, VMC"
2010-05,"INCY, CMI, AFL, EMN, AOS, ROK, MHK, FDS, JBHT, LNC","STT, BAX, BRO, ADM, CINF, HOLX, EIX, VMC, FE, AEE"
2010-06,"INCY, CMI, EMN, AFL, LNC, FDS, MHK, AOS, JBHT, ROK","AVY, BRO, ADM, CINF, HOLX, BAX, VMC, EIX, AEE, FE"
2010-07,"INCY, CMI, AFL, EMN, LNC, MAA, AOS, FDS, ROL, SNA","AVY, BRO, STT, CINF, BAX, HOLX, VMC, FE, EIX, AEE"
2010-08,"INCY, CMI, AFL, MAA, EMN, LNC, FDS, JBHT, FRT, BXP","NTRS, AVY, STT, BAX, BRO, FE, HOLX, VMC, EIX, AEE"
2010-09,"INCY, CMI, AFL, EMN, FDS, MAA, LNC, BXP, GL, JBHT","NTRS, AVY, CINF, BAX, BRO, HOLX, AEE, EIX, FE, VMC"
2010-10,"INCY, CMI, EMN, AFL, MAA, AOS, MHK, DHI, FDS, JBHT","NUE, NTRS, CINF, STT, BRO, FE, AEE, HOLX, EIX, VMC"
2010-11,"INCY, CMI, EMN, AOS, COO, AFL, MAA, FDS, MHK, SNA","AVY, BAX, NUE, NTRS, STT, EIX, AEE, VMC, FE, HOLX"
2010-12,"INCY, CMI, EMN, AOS, COO, FDS, MAA, TER, SJM, JBHT","ADM, BAX, NUE, STT, EIX, NTRS, AEE, VMC, HOLX, FE"
2011-01,"INCY, CMI, EMN, COO, FDS, MAA, AOS, TER, SWK, JBHT","NUE, BAX, NTRS, EIX, VMC, STT, ADM, HOLX, AEE, FE"
2011-02,"CMI, INCY, AOS, FDS, COO, TER, EMN, ROK, DOV, MAA","AVY, ADM, BAX, AEE, NTRS, EIX, HOLX, VMC, STT, FE"
2011-03,"CMI, COO, FDS, INCY, ROK, AOS, ROL, TER, EMN, SJM","NUE, AVY, NTRS, AEE, EIX, VMC, TTWO, HOLX, FE, STT"
2011-04,"CMI, COO, AOS, INCY, FDS, ROK, EMN, ROL, SJM, SWK","AVY, HOLX, NTRS, VMC, EIX, NUE, AEE, TTWO, FE, STT"
2011-05,"COO, INCY, AOS, CMI, ROL, ROK, FDS, SJM, EMN, HBAN","AVY, HOLX, EIX, VMC, AEE, TTWO, STT, NUE, NTRS, FE"
2011-06,"INCY, COO, ROL, AOS, SJM, CMI, HBAN, FDS, POOL, ROK","ADM, AVY, AEE, EIX, TTWO, STT, FE, NTRS, NUE, VMC"
2011-07,"INCY, COO, HBAN, SJM, ROK, ROL, AOS, POOL, FDS, CMI","AVY, AFL, AEE, EIX, STT, VMC, NTRS, TTWO, FE, NUE"
2011-08,"COO, INCY, SJM, ROK, EMN, CMI, HBAN, ROL, AOS, FDS","BAX, AEE, EIX, AVY, NUE, FE, TTWO, STT, VMC, NTRS"
2011-09,"COO, INCY, ROL, CMI, EMN, MAA, ROK, CMS, ED, SJM","BAX, EIX, HOLX, NUE, FE, AVY, TTWO, STT, VMC, NTRS"
2011-10,"COO, INCY, CMI, ROK, FDS, CMS, SJM, TER, EMN, ED","NUE, HOLX, BRO, AFL, FE, LNC, STT, AVY, NTRS, VMC"
2011-11,"COO, CMI, INCY, CMS, FDS, TER, ROK, SJM, MAA, ROL","BRO, BAX, MHK, AFL, NUE, STT, NTRS, HBAN, AVY, VMC"
2011-12,"COO, INCY, CMI, CMS, TER, DHI, FDS, ED, PNW, SJM","TTWO, RHI, BRO, NUE, NTRS, STT, HBAN, AVY, AFL, VMC"
2012-01,"COO, INCY, CMS, CMI, TER, ED, DHI, SJM, PNW, AOS","BRO, MHK, STT, NTRS, LNC, HBAN, NUE, AVY, AFL, VMC"
2012-02,"COO, INCY, CMI, DHI, CMS, MAA, ROL, EMN, ED, ROP","ADM, AFL, BRO, BAX, MHK, LNC, NUE, AVY, VMC, NTRS"
2012-03,"INCY, COO, CMI, DTE, CMS, ED, PNW, HBAN, SJM, MAA","ADM, BRO, MHK, RHI, DHI, AVY, STT, NUE, VMC, NTRS"
2012-04,"INCY, COO, SJM, DTE, HBAN, CMI, CMS, PNW, ED, ESS","AFL, BRO, RHI, DHI, MHK, AVY, STT, NUE, VMC, NTRS"
2012-05,"INCY, COO, CMS, DTE, SJM, ESS, PNW, ED, CHD, CMI","APD, DHI, AFL, RHI, MHK, STT, AVY, NUE, NTRS, VMC"
2012-06,"INCY, COO, CMS, CHD, DTE, PNW, ED, ESS, SJM, MAA","APD, BAX, TTWO, AVY, AFL, LNC, NUE, STT, NTRS, VMC"
2012-07,"INCY, COO, CMS, ESS, CHD, DTE, ED, PNW, POOL, MAA","HOLX, AFL, RHI, AVY, LNC, TTWO, NTRS, VMC, NUE, STT"
2012-08,"INCY, COO, ESS, CMS, CHD, DTE, ED, PNW, FRT, MAA","APD, ADM, AFL, RHI, NUE, TTWO, NTRS, VMC, LNC, STT"
2012-09,"COO, INCY, CHD, CMS, DTE, ESS, ED, PNW, AOS, ROL","HOLX, AFL, AVY, RHI, TTWO, NUE, NTRS, VMC, LNC, STT"
2012-10,"COO, INCY, CMS, CHD, DTE, PNW, AOS, ED, ESS, ROL","APD, AFL, RHI, AVY, TTWO, VMC, NTRS, NUE, LNC, STT"
2012-11,"COO, INCY, CMS, PNW, DTE, POOL, AOS, CHD, ESS, ED","AFL, ADM, APD, NUE, NTRS, STT, VMC, TTWO, AVY, LNC"
2012-12,"COO, POOL, CMS, CHD, AOS, INCY, PNW, ROL, DTE, SNA","AFL, VMC, TTWO, APD, ADM, NTRS, NUE, STT, AVY, LNC"
2013-01,"COO, POOL, PPG, AOS, CHD, CMS, CMI, ROP, ESS, EMN","AFL, APD, ADM, TTWO, AVY, NTRS, STT, VMC, NUE, LNC"
2013-02,"COO, POOL, CHD, CMS, AOS, PPG, PNW, ROP, ESS, JBHT","AVY, APD, RHI, TTWO, ADM, NUE, STT, NTRS, AFL, LNC"
2013-03,"COO, CMS, POOL, CHD, AOS, PNW, DTE, ROP, ED, PPG","APD, SWK, RHI, HOLX, VMC, NUE, STT, NTRS, AFL, LNC"
2013-04,"COO, CMS, CHD, POOL, PNW, DTE, AOS, ROP, ED, SJM","APD, TER, RHI, STT, HOLX, VMC, NUE, NTRS, AFL, LNC"
2013-05,"COO, CMS, PNW, CHD, AOS, ED, POOL, DTE, SJM, PPG","AVY, TER, HOLX, SWK, HBAN, NTRS, NUE, AFL, LNC, VMC"
2013-06,"COO, CMS, PNW, AOS, CHD, SJM, ED, DTE, PPG, AEE","HBAN, RHI, TER, NTRS, SWK, AFL, TTWO, NUE, VMC, LNC"
2013-07,"COO, CMS, CHD, PNW, ED, AEE, POOL, DTE, EIX, SJM","HOLX, TER, TTWO, CMI, RHI, SWK, AFL, NUE, VMC, LNC"
2013-08,"COO, CMS, CHD, PNW, POOL, AEE, DTE, ED, SJM, EIX","NTRS, TTWO, RHI, CMI, NUE, SWK, TER, AFL, LNC, VMC"
2013-09,"COO, INCY, POOL, CHD, CMS, AOS, SJM, PPG, DTE, ED","ADM, TER, VMC, CMI, SWK, HOLX, NUE, NTRS, LNC, AFL"
2013-10,"COO, INCY, POOL, CHD, CMS, AOS, PPG, SJM, DTE, MHK","VMC, ADM, TER, CMI, SWK, NUE, HOLX, NTRS, LNC, AFL"
2013-11,"COO, INCY, POOL, CHD, AOS, CMS, PPG, SJM, DTE, ED","RHI, APD, TER, NUE, CMI, HOLX, LNC, NTRS, SWK, AFL"
2013-12,"INCY, COO, CHD, POOL, AOS, CMS, MHK, DTE, PPG, SJM","APD, RHI, VMC, NUE, TER, SWK, HOLX, NTRS, CMI, AFL"
2014-01,"INCY, COO, CHD, POOL, AOS, CMS, MHK, PPG, DTE, SJM","APD, VMC, LNC, NUE, NTRS, TER, CMI, SWK, HOLX, AFL"
2014-02,"INCY, COO, CHD, POOL, MHK, CMS, DTE, PPG, ATO, AEE","STT, APD, NTRS, LNC, TER, CMI, NUE, SWK, AFL, HOLX"
2014-03,"INCY, COO, CHD, POOL, CMS, DTE, MHK, AOS, PPG, AEE","NTRS, ADM, CMI, BRO, LNC, TER, NUE, SWK, HOLX, AFL"
2014-04,"INCY, COO, POOL, CHD, CMS, EIX, DTE, AEE, MHK, ATO","APD, NTRS, BRO, LNC, CMI, AFL, NUE, TER, SWK, HOLX"
2014-05,"INCY, COO, CHD, CMS, DTE, POOL, AEE, EIX, ATO, MHK","STT, NTRS, BRO, LNC, SWK, NUE, CMI, AFL, TER, HOLX"
2014-06,"INCY, COO, CMS, CHD, PPG, ATO, DTE, AOS, POOL, EIX","NTRS, STT, CMI, NUE, AFL, BRO, LNC, SWK, HOLX, TER"
2014-07,"INCY, COO, CHD, CMS, DTE, ATO, EIX, AEE, PPG, POOL","APD, STT, BRO, CMI, AFL, TER, NUE, LNC, HOLX, SWK"
2014-08,"INCY, COO, CMS, CHD, POOL, DTE, PPG, EIX, CINF, MHK","STT, FE, EMN, LNC, NUE, HOLX, TER, SWK, AFL, CMI"
2014-09,"INCY, COO, CMS, EIX, PPG, POOL, DTE, MHK, CHD, ATO","BRO, EMN, VMC, MAA, AFL, TER, NUE, HOLX, SWK, CMI"
2014-10,"INCY, COO, JBHT, CMS, MHK, PPG, DTE, ADM, SNA, AOS","SJM, NUE, TTWO, FE, APD, SWK, HOLX, TER, AFL, CMI"
2014-11,"INCY, COO, JBHT, CMS, ROP, MHK, SNA, PPG, DTE, AOS","SJM, EMN, NUE, BAX, FE, APD, AFL, TER, HOLX, CMI"
2014-12,"INCY, COO, SNA, CMS, PPG, JBHT, MHK, DTE, RHI, ROP","SWK, EMN, ROK, FE, APD, TER, NUE, AFL, HOLX, CMI"
2015-01,"INCY, COO, PPG, SNA, JBHT, CMS, DTE, ADM, ATO, EIX","ROK, APD, AFL, TER, EMN, DOV, VMC, NUE, CMI, HOLX"
2015-02,"INCY, COO, CMS, PPG, DTE, MHK, AOS, SNA, FRT, ESS","VMC, SWK, ROK, HOLX, DOV, AFL, EMN, TER, NUE, CMI"
2015-03,"INCY, CMS, COO, PPG, MHK, DTE, AOS, SNA, ESS, FRT","LNC, ROK, SWK, HOLX, DOV, AFL, TER, EMN, NUE, CMI"
2015-04,"INCY, COO, CMS, AOS, MHK, SNA, ATO, FRT, PPG, DTE","BAX, ROK, HOLX, AFL, SWK, DOV, TER, EMN, NUE, CMI"
2015-05,"INCY, COO, CMS, SNA, AOS, MHK, DTE, ATO, ESS, TTWO","APD, SWK, DOV, AFL, BRO, DHI, NUE, EMN, TER, CMI"
2015-06,"INCY, TTWO, COO, CMS, BXP, ESS, AOS, SNA, AVY, VMC","SJM, APD, HBAN, DOV, CINF, BRO, EMN, NUE, CMI, DHI"
2015-07,"INCY, TTWO, COO, SNA, AOS, ROL, AVY, CMS, ESS, HOLX","TER, PNW, BRO, DOV, APD, SJM, FE, DHI, CMI, NUE"
2015-08,"INCY, TTWO, COO, AOS, MHK, SNA, ROL, HOLX, ESS, CMS","PNW, APD, SJM, TER, EMN, FE, DHI, DOV, CMI, NUE"
2015-09,"INCY, TTWO, VMC, COO, MHK, SNA, ROL, CMS, AOS, ESS","JBHT, PNW, BRO, AFL, DOV, EMN, TER, FE, NUE, CMI"
2015-10,"INCY, TTWO, CMS, ATO, ESS, SNA, AOS, MHK, ROL, VMC","PPG, BRO, TER, AFL, BAX, DOV, FE, EMN, CMI, NUE"
2015-11,"INCY, TTWO, ATO, CMS, ROL, VMC, ESS, MAA, FDS, HOLX","PPG, TER, JBHT, AFL, BAX, DOV, FE, CMI, EMN, NUE"
2015-12,"INCY, TTWO, ESS, ATO, HOLX, ROL, MAA, CMS, POOL, VMC","PPG, JBHT, FE, AFL, ROK, BAX, DOV, EMN, CMI, NUE"
2016-01,"INCY, TTWO, ESS, ATO, CMS, MAA, ROL, HOLX, SNA, POOL","TER, BAX, JBHT, PPG, ROK, AFL, DOV, NUE, EMN, CMI"
2016-02,"INCY, TTWO, ATO, CMS, ROL, MAA, POOL, ED, FRT, DTE","JBHT, BAX, AFL, LNC, ROK, DOV, STT, NUE, CMI, EMN"
2016-03,"INCY, TTWO, ATO, CMS, ROL, EIX, VMC, POOL, AEE, FRT","JBHT, RHI, TER, ROK, LNC, DOV, STT, CMI, NUE, EMN"
2016-04,"INCY, TTWO, ATO, CMS, ROL, VMC, MAA, EIX, POOL, ESS","NTRS, BAX, JBHT, ADM, DOV, STT, NUE, LNC, CMI, EMN"
2016-05,"INCY, TTWO, ATO, VMC, ROL, CMS, POOL, MAA, EIX, ED","DHI, RHI, DOV, CMI, TER, NUE, FE, STT, LNC, EMN"
2016-06,"INCY, TTWO, ATO, VMC, CMS, ROL, EIX, MAA, POOL, AEE","RHI, PPG, JBHT, TER, LNC, NUE, DOV, CMI, STT, EMN"
2016-07,"INCY, TTWO, ATO, VMC, CMS, EIX, ROL, MAA, AOS, FRT","JBHT, RHI, HBAN, NUE, TER, CMI, DOV, EMN, LNC, STT"
