date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD;portfolio
29.02.2004;0.12%;9.83%;10.11%;-1.84%;-3.35%;-0.10%;2.40%;3.88%;-2.62%;4.78%;-2.25%;13.44%;-5.15%;3.48%;0.78%;5.92%;6.17%;1.32%;-3.21%;2.96%;2.57%;10.13%;3.58%;14.16%;2.50%;-3.14%;4.03%;6.07%;5.72%;19.72%;4.61%;11.70%;13.10%;0.75%;0.79%;-4.34%;-6.48%;0.31%;2.73%;8.56%;-0.22%;2.24%;-8.36%;-0.84%;7.93%;-8.18%;2.93%;1.95%;6.46%;4.59%;
31.03.2004;-6.91%;-1.48%;-0.93%;-2.76%;3.90%;6.08%;6.01%;-3.44%;19.00%;-2.72%;14.14%;11.45%;-0.69%;1.71%;1.16%;5.20%;0.78%;4.02%;15.75%;2.18%;9.09%;3.20%;-4.76%;1.25%;2.07%;-3.82%;2.89%;1.92%;3.54%;-1.14%;-6.16%;-2.26%;2.79%;0.67%;0.06%;5.12%;14.40%;-0.62%;1.87%;4.86%;-2.98%;10.20%;-3.33%;0.86%;17.54%;11.21%;-1.83%;-1.83%;5.25%;4.11%;
30.04.2004;3.28%;4.09%;5.21%;-3.87%;-0.16%;2.46%;-12.44%;-0.70%;2.33%;-7.15%;0.00%;-18.71%;3.25%;-4.00%;-6.55%;-2.84%;0.86%;-5.80%;-6.58%;0.05%;-18.86%;-3.05%;-2.10%;-0.49%;8.67%;-4.33%;12.43%;-5.16%;-13.14%;-6.33%;-9.06%;-3.05%;7.92%;-0.74%;1.73%;15.45%;-5.71%;0.62%;4.45%;-0.91%;-6.12%;0.28%;-14.48%;-2.53%;-21.47%;-7.84%;-3.64%;3.85%;0.64%;3.79%;
31.05.2004;-1.03%;-5.30%;-3.86%;1.10%;0.32%;-0.66%;5.02%;4.70%;-2.62%;3.73%;2.22%;0.35%;-2.67%;3.05%;-4.73%;3.16%;8.86%;7.55%;9.93%;-0.26%;7.61%;4.13%;6.40%;2.03%;1.27%;-9.81%;3.41%;6.56%;11.40%;-3.76%;1.75%;10.86%;0.10%;4.33%;0.83%;2.60%;3.58%;9.29%;-0.44%;-6.50%;-0.78%;2.45%;9.37%;-3.20%;3.05%;2.69%;0.61%;-8.08%;2.49%;1.00%;
30.06.2004;7.95%;1.35%;0.76%;-2.81%;4.96%;9.76%;1.46%;1.80%;7.90%;5.92%;14.44%;-1.46%;8.49%;0.82%;2.73%;5.92%;-0.24%;4.27%;8.31%;-3.15%;4.24%;-0.72%;0.92%;13.08%;8.02%;6.56%;17.95%;-0.51%;7.40%;-1.23%;-1.56%;16.57%;12.09%;0.25%;5.30%;6.64%;11.34%;7.46%;0.54%;-5.64%;1.28%;4.66%;1.84%;6.86%;2.92%;-5.42%;4.59%;9.10%;7.99%;1.02%;
31.07.2004;-9.66%;-8.05%;-2.87%;5.54%;-0.78%;-12.87%;7.01%;-7.77%;11.09%;-1.10%;-5.84%;-2.71%;-5.75%;0.37%;3.04%;5.64%;-2.43%;-2.47%;-8.72%;4.52%;2.65%;-2.63%;7.16%;-14.32%;-6.58%;-19.76%;-0.44%;-7.51%;-5.38%;0.29%;-4.62%;9.28%;-8.38%;0.27%;-5.66%;-6.55%;-0.27%;-1.58%;-4.29%;-8.93%;-12.42%;-6.42%;-24.67%;0.15%;1.96%;0.61%;-1.68%;-5.37%;-1.35%;-3.49%;
31.08.2004;-14.50%;3.50%;1.16%;4.70%;1.22%;1.56%;4.88%;1.18%;-3.08%;6.31%;-2.52%;11.98%;-4.91%;2.86%;3.00%;0.30%;4.14%;11.91%;3.20%;2.92%;7.54%;-1.53%;0.98%;-7.03%;-3.91%;11.42%;-11.74%;4.46%;12.30%;4.60%;7.22%;-6.41%;2.33%;5.40%;1.39%;-11.93%;4.25%;-1.35%;-1.06%;9.97%;5.44%;2.03%;-24.74%;0.10%;4.83%;0.91%;0.48%;2.61%;5.60%;1.79%;
30.09.2004;-0.29%;6.83%;-1.98%;-1.37%;3.82%;5.30%;-0.16%;2.16%;10.31%;-0.83%;18.29%;7.32%;3.42%;2.11%;0.99%;-1.38%;2.19%;-2.58%;8.41%;3.07%;-3.04%;3.30%;0.97%;4.05%;10.55%;41.00%;9.64%;3.75%;-1.77%;3.21%;-5.23%;16.71%;-4.70%;-1.68%;3.33%;5.42%;-0.33%;4.19%;-12.57%;-2.87%;-5.38%;-1.69%;4.12%;7.47%;0.31%;4.25%;0.83%;6.47%;1.95%;-6.22%;
31.10.2004;8.99%;14.08%;-8.49%;5.44%;-1.68%;-4.35%;9.11%;1.97%;-5.16%;-1.68%;2.63%;-9.39%;1.03%;2.51%;3.35%;15.92%;0.79%;10.42%;3.40%;0.61%;9.07%;1.58%;-3.06%;4.20%;8.66%;8.00%;10.02%;-6.81%;0.98%;7.17%;4.72%;-7.28%;9.16%;2.70%;4.03%;2.95%;7.73%;7.31%;6.60%;0.20%;5.88%;5.36%;23.58%;-2.30%;0.33%;8.48%;2.46%;-7.51%;-8.62%;-2.99%;
30.11.2004;13.90%;9.45%;4.85%;0.87%;7.65%;2.89%;0.77%;7.31%;13.61%;8.97%;-1.17%;17.70%;3.00%;2.74%;0.92%;4.59%;14.56%;2.64%;3.63%;2.18%;5.69%;1.85%;1.29%;24.45%;8.77%;-1.25%;-1.62%;5.85%;1.85%;3.08%;10.58%;25.27%;8.02%;4.86%;5.84%;1.88%;13.46%;-0.02%;7.59%;2.20%;-1.09%;5.03%;3.02%;4.16%;6.04%;-6.83%;4.57%;-3.58%;-2.90%;14.70%;
31.12.2004;-0.37%;5.62%;6.17%;3.55%;1.26%;9.13%;7.46%;-1.21%;5.65%;2.45%;1.52%;14.48%;4.09%;-1.71%;1.04%;0.41%;6.16%;4.06%;13.30%;-5.58%;2.99%;4.06%;1.98%;9.92%;1.25%;-2.73%;11.65%;1.43%;4.46%;4.05%;3.27%;-1.06%;1.39%;0.48%;1.72%;9.11%;5.15%;-1.27%;9.58%;4.04%;10.23%;5.40%;0.06%;5.85%;-0.46%;7.45%;2.55%;2.90%;7.60%;7.90%;
31.01.2005;-9.45%;8.47%;-0.83%;1.28%;2.13%;-0.46%;-9.74%;0.31%;-7.30%;0.77%;8.70%;-1.31%;-8.68%;2.76%;0.27%;2.17%;-5.43%;-13.32%;-8.50%;0.63%;-7.77%;-4.45%;-6.38%;29.96%;-4.81%;-10.31%;-1.63%;-1.16%;-8.25%;-3.00%;-9.77%;7.55%;-6.83%;-6.10%;0.91%;3.09%;14.33%;-4.46%;-3.64%;-0.89%;-8.46%;-2.92%;-17.81%;3.42%;1.32%;-5.78%;1.28%;0.20%;-0.67%;2.41%;
28.02.2005;-2.49%;-0.41%;-2.99%;2.69%;6.30%;5.63%;3.50%;1.38%;-5.48%;15.29%;7.37%;10.26%;0.97%;0.94%;-2.55%;0.03%;6.63%;0.18%;-7.33%;3.72%;6.38%;-4.38%;-2.05%;3.36%;2.80%;-2.57%;7.25%;2.35%;0.77%;1.39%;-3.19%;11.00%;14.54%;1.25%;4.61%;-3.86%;9.71%;11.46%;-0.03%;5.38%;-2.14%;-2.75%;9.91%;2.44%;4.03%;2.90%;-0.47%;1.02%;7.46%;2.73%;
31.03.2005;9.86%;2.35%;-2.52%;-4.78%;1.07%;-4.71%;0.72%;-2.50%;-3.78%;7.41%;-11.48%;-10.91%;-1.86%;2.85%;-0.06%;6.90%;2.18%;-4.13%;0.22%;2.77%;-3.67%;0.17%;6.22%;-13.60%;2.15%;-21.76%;-7.25%;-3.65%;-2.82%;-6.06%;2.82%;-7.67%;-6.21%;1.82%;0.03%;-7.34%;-8.61%;1.39%;-3.26%;2.86%;-0.30%;-2.12%;-5.32%;-1.27%;6.63%;9.66%;-0.96%;2.67%;-0.67%;0.45%;
30.04.2005;-1.28%;-26.81%;9.10%;6.80%;-6.73%;9.18%;11.58%;-2.73%;-3.34%;-0.92%;-7.34%;4.31%;-3.78%;2.17%;2.61%;5.32%;-7.81%;11.21%;-15.90%;3.74%;11.79%;2.58%;-0.87%;11.61%;-7.68%;-4.10%;-10.69%;-0.38%;4.74%;-7.70%;4.08%;-10.85%;2.26%;-1.43%;-5.55%;-7.94%;-18.38%;3.31%;4.34%;-1.35%;6.16%;-4.38%;-24.52%;-6.67%;-9.73%;6.13%;-2.59%;-15.47%;-5.08%;1.55%;
31.05.2005;10.66%;10.34%;2.21%;5.57%;2.55%;-0.54%;0.50%;-1.60%;-0.07%;2.40%;-2.22%;13.34%;4.15%;3.46%;5.15%;1.24%;8.85%;5.33%;15.31%;1.79%;3.18%;-1.27%;-0.72%;3.46%;3.42%;16.49%;3.05%;2.06%;7.65%;7.21%;2.29%;3.64%;9.98%;6.49%;-3.20%;0.48%;11.12%;3.46%;4.04%;0.38%;3.83%;3.67%;18.06%;12.99%;9.48%;3.34%;7.57%;0.19%;1.85%;0.39%;
30.06.2005;-14.83%;8.18%;4.45%;1.32%;0.12%;0.54%;4.79%;0.20%;10.31%;13.83%;-7.86%;9.12%;-3.52%;-1.62%;4.23%;10.34%;-6.18%;3.82%;12.14%;9.64%;6.88%;-1.04%;3.52%;7.99%;0.52%;-6.29%;-4.23%;3.05%;12.15%;-1.10%;-0.96%;-13.86%;-1.81%;0.75%;-3.36%;0.40%;-4.74%;2.10%;0.13%;-5.25%;0.52%;2.08%;-7.99%;8.97%;-1.20%;-1.52%;2.95%;1.69%;1.03%;0.28%;
31.07.2005;1.09%;7.30%;4.21%;1.76%;-0.37%;5.85%;9.87%;4.99%;14.52%;5.18%;12.94%;9.23%;13.41%;1.59%;2.82%;1.45%;1.22%;11.67%;2.34%;3.47%;11.71%;0.13%;4.24%;14.69%;13.13%;11.47%;2.08%;2.94%;6.01%;6.45%;11.94%;22.20%;3.85%;3.04%;3.62%;35.72%;5.75%;7.54%;6.94%;1.34%;3.47%;8.12%;29.74%;8.08%;-3.30%;4.24%;1.25%;7.01%;-3.60%;3.73%;
31.08.2005;4.84%;-1.87%;-4.17%;-1.24%;-7.30%;2.70%;-6.57%;-0.70%;1.21%;1.64%;-0.19%;-10.13%;-1.36%;-2.62%;-2.60%;10.15%;-13.40%;-4.26%;-4.58%;2.51%;-5.19%;1.11%;-3.81%;5.79%;-0.11%;-7.65%;-7.67%;2.67%;-5.78%;-2.78%;-1.89%;1.86%;0.44%;-0.87%;-3.15%;-0.62%;1.03%;0.52%;-3.22%;0.32%;-2.83%;-6.50%;8.18%;2.29%;-3.29%;-5.89%;1.47%;-5.70%;9.58%;1.62%;
30.09.2005;1.28%;10.00%;5.08%;-2.62%;-0.47%;-1.14%;-0.35%;2.35%;2.11%;2.17%;11.73%;-1.68%;0.65%;0.20%;4.75%;5.00%;-2.08%;2.33%;0.83%;2.99%;-1.60%;0.17%;-6.34%;19.74%;-2.18%;-36.14%;5.20%;4.90%;3.82%;-6.01%;1.42%;4.44%;-4.32%;-1.89%;-5.33%;5.89%;2.10%;2.00%;2.47%;2.30%;1.22%;2.03%;-1.79%;3.73%;-7.18%;-0.46%;-3.50%;-1.96%;4.87%;-3.04%;
31.10.2005;13.61%;-1.18%;5.47%;-0.53%;4.42%;-4.11%;2.16%;2.33%;-2.98%;-9.36%;-10.14%;-15.27%;-4.44%;-4.74%;-6.28%;-6.94%;13.34%;0.78%;-0.48%;-8.86%;0.47%;0.00%;4.48%;-3.97%;-5.95%;6.17%;2.10%;-2.71%;0.30%;-2.74%;6.47%;2.16%;2.98%;-5.26%;1.32%;3.62%;0.47%;-4.05%;-0.28%;-5.83%;13.33%;3.33%;-17.94%;-12.41%;-6.52%;-2.56%;-6.90%;8.91%;9.34%;-5.12%;
30.11.2005;12.99%;-3.28%;0.46%;-0.27%;3.37%;1.60%;8.65%;4.61%;4.25%;-6.24%;-20.40%;15.81%;3.77%;1.02%;0.09%;3.11%;4.87%;2.02%;10.41%;-1.14%;3.84%;2.66%;3.01%;28.22%;10.62%;11.42%;15.35%;3.44%;5.51%;12.72%;-1.70%;12.08%;8.23%;0.60%;1.27%;3.74%;6.17%;4.66%;3.75%;-0.79%;4.45%;0.15%;8.05%;2.62%;-11.62%;6.99%;1.03%;3.78%;7.62%;-5.22%;
31.12.2005;-3.57%;5.00%;-3.08%;-2.33%;0.03%;-3.06%;-1.44%;0.38%;1.17%;3.79%;-6.39%;0.82%;0.51%;-1.03%;3.01%;-3.35%;-6.76%;0.55%;6.44%;5.30%;-3.40%;2.73%;-0.88%;6.65%;-6.86%;-3.96%;1.41%;2.02%;-0.14%;-1.14%;-1.65%;-0.54%;-4.17%;-0.34%;-3.91%;-0.78%;5.26%;0.28%;1.20%;-2.40%;-3.90%;0.08%;-0.41%;2.01%;-3.01%;-2.90%;-0.37%;-5.99%;4.66%;-0.40%;
31.01.2006;22.76%;27.74%;1.14%;0.27%;4.78%;-0.66%;6.54%;2.62%;8.44%;-0.28%;8.12%;4.45%;13.44%;-1.14%;1.47%;1.11%;-5.75%;8.74%;-3.11%;2.27%;11.17%;0.90%;-1.44%;35.71%;11.89%;-4.68%;5.12%;2.83%;5.26%;-2.23%;1.19%;27.48%;7.15%;3.05%;2.76%;-3.59%;11.68%;2.13%;6.84%;-1.14%;9.42%;2.70%;19.56%;6.10%;-10.40%;9.03%;0.46%;8.80%;-5.93%;11.41%;
28.02.2006;7.85%;0.70%;-1.49%;-0.18%;4.00%;2.71%;8.19%;-2.59%;11.28%;-2.70%;-5.34%;-8.36%;4.38%;2.61%;-2.43%;1.23%;2.32%;0.27%;-1.83%;1.96%;4.30%;-2.36%;3.66%;-7.05%;3.00%;15.52%;-0.24%;4.84%;7.64%;1.73%;0.98%;2.16%;9.00%;-2.54%;1.90%;-1.67%;3.18%;11.86%;-3.02%;-9.15%;3.34%;2.24%;-3.62%;9.91%;-1.77%;-9.87%;0.46%;0.44%;8.84%;-6.17%;
31.03.2006;14.04%;6.43%;-2.15%;-1.68%;4.72%;2.54%;10.13%;-5.16%;-2.66%;-8.03%;2.97%;-2.61%;1.65%;-7.41%;-3.97%;-7.17%;3.75%;9.11%;13.43%;-3.39%;7.91%;4.44%;0.33%;15.72%;10.41%;2.38%;-8.96%;-3.84%;0.83%;-6.69%;-0.42%;21.78%;8.14%;-4.75%;5.31%;7.72%;5.84%;7.90%;-1.37%;1.09%;-3.28%;1.04%;-7.62%;10.21%;19.77%;4.81%;0.91%;-1.90%;6.36%;7.10%;
30.04.2006;-10.19%;7.99%;5.34%;2.39%;2.50%;-2.86%;-4.63%;2.11%;-0.57%;2.86%;1.46%;-9.63%;2.45%;2.95%;-0.87%;-1.24%;7.12%;1.12%;-0.47%;3.70%;-8.31%;5.27%;1.14%;-13.88%;-2.63%;-30.73%;10.63%;6.39%;-3.20%;-0.77%;12.66%;4.35%;-0.41%;2.56%;5.95%;9.48%;0.76%;-2.41%;8.87%;-1.11%;8.43%;3.73%;8.70%;-1.95%;-8.63%;0.05%;0.80%;6.87%;-5.93%;-0.68%;
31.05.2006;-7.01%;14.39%;-1.56%;-1.75%;-5.36%;0.00%;-4.10%;7.50%;5.46%;-3.60%;-13.63%;-12.19%;-1.83%;-0.88%;2.27%;-2.90%;3.74%;-2.38%;1.74%;3.37%;0.22%;-1.86%;-2.61%;-17.16%;-4.54%;0.00%;3.03%;-2.62%;-3.59%;-7.99%;-5.04%;-3.26%;-7.56%;-0.54%;-4.14%;-2.91%;-5.77%;-1.19%;0.92%;5.60%;-4.93%;-7.08%;-7.65%;-8.13%;-4.46%;-2.72%;1.13%;-4.98%;-2.43%;-1.42%;
30.06.2006;5.48%;-0.47%;-0.70%;2.04%;-1.43%;-2.49%;6.79%;2.55%;11.22%;0.78%;-6.46%;-9.33%;1.56%;0.79%;2.12%;-0.61%;-4.22%;4.85%;5.46%;4.32%;2.37%;3.12%;0.26%;24.99%;-2.38%;10.31%;1.80%;0.46%;10.40%;-4.55%;-1.11%;3.07%;1.27%;1.32%;3.31%;2.54%;5.78%;-0.19%;-2.83%;8.56%;-6.46%;-2.74%;-10.53%;0.41%;-33.58%;0.01%;5.23%;-2.24%;-3.95%;0.91%;
31.07.2006;-7.55%;6.59%;-4.77%;3.28%;0.57%;14.25%;9.48%;1.05%;-4.29%;8.27%;-0.14%;-10.03%;-4.63%;5.19%;5.47%;6.84%;-7.31%;5.70%;-7.19%;3.30%;4.50%;-0.41%;4.36%;-9.02%;-7.94%;-7.39%;-17.42%;0.43%;2.46%;-1.89%;3.70%;-0.85%;-10.77%;7.77%;-6.76%;-22.95%;-13.93%;-3.32%;3.93%;-0.16%;3.75%;-3.36%;-5.67%;-14.14%;-1.29%;7.59%;3.08%;1.66%;7.43%;0.22%;
31.08.2006;-6.04%;-6.43%;2.11%;3.98%;3.69%;5.67%;3.49%;-0.98%;-1.86%;4.50%;13.08%;2.33%;3.14%;-1.37%;-1.43%;5.46%;5.68%;7.16%;0.46%;1.89%;2.10%;3.10%;-1.77%;-3.85%;-3.04%;19.95%;-4.10%;7.82%;6.90%;2.69%;-1.96%;-8.09%;-2.21%;8.05%;2.96%;-4.39%;-9.04%;2.74%;4.02%;8.96%;2.90%;4.10%;6.85%;17.38%;14.23%;0.52%;0.10%;5.65%;-4.62%;5.48%;
30.09.2006;-1.70%;-7.77%;1.84%;-1.42%;0.12%;2.43%;1.68%;3.04%;4.16%;-1.37%;7.04%;9.97%;-2.05%;-0.55%;1.27%;-4.58%;2.99%;-3.24%;10.29%;-1.32%;0.31%;1.45%;0.04%;0.79%;2.52%;-17.22%;5.70%;2.27%;1.36%;5.04%;4.36%;1.27%;1.39%;-1.94%;6.69%;10.07%;3.44%;-3.54%;2.59%;-0.76%;0.97%;5.55%;-6.27%;0.02%;16.89%;-0.31%;0.22%;-2.86%;2.23%;1.77%;
31.10.2006;-10.83%;1.64%;-1.84%;3.71%;5.50%;1.12%;4.06%;-4.47%;6.50%;3.12%;7.72%;-2.17%;0.13%;10.81%;4.65%;7.41%;13.72%;10.55%;4.80%;5.35%;8.71%;-2.27%;3.08%;10.64%;8.94%;12.53%;4.19%;1.98%;3.97%;-2.35%;0.91%;19.47%;6.44%;6.13%;1.97%;7.59%;6.71%;6.95%;5.57%;2.19%;3.26%;-3.81%;6.53%;4.13%;-1.89%;2.51%;7.64%;5.60%;-4.25%;3.73%;
30.11.2006;2.28%;-8.83%;-1.74%;1.13%;-0.76%;-2.68%;9.57%;-3.00%;-5.56%;8.86%;-6.35%;14.43%;5.89%;3.65%;-0.27%;3.47%;-2.53%;-0.93%;3.89%;1.68%;6.28%;2.71%;-0.41%;3.90%;2.57%;10.08%;1.06%;1.04%;-4.87%;6.51%;-3.00%;2.47%;-0.02%;4.34%;-5.99%;5.58%;4.97%;7.37%;1.00%;-1.88%;-3.21%;7.07%;6.28%;8.89%;24.02%;1.25%;6.64%;6.86%;-0.89%;3.30%;
31.12.2006;4.95%;-8.69%;4.59%;-1.79%;1.65%;3.69%;-4.42%;2.33%;-1.15%;3.02%;-17.55%;-0.56%;-2.18%;2.80%;0.89%;-1.09%;-0.12%;-2.11%;6.93%;1.54%;-0.21%;0.85%;-2.30%;-5.50%;-1.13%;11.45%;-4.67%;4.42%;-4.60%;-3.32%;6.55%;-8.67%;-4.15%;2.74%;0.57%;-3.61%;-5.72%;-2.09%;0.87%;1.38%;8.48%;-1.43%;0.40%;1.72%;2.36%;1.20%;-1.67%;0.68%;-2.52%;1.94%;
31.01.2007;2.10%;0.13%;3.50%;0.01%;6.74%;8.44%;19.12%;-0.54%;13.86%;-0.06%;7.26%;9.70%;1.18%;-3.16%;0.44%;-0.47%;-0.50%;12.42%;2.83%;-1.61%;10.66%;1.93%;-0.98%;17.28%;9.47%;27.23%;20.99%;1.11%;5.03%;10.10%;0.53%;19.36%;-6.56%;-3.75%;3.24%;9.64%;0.21%;3.34%;1.20%;-2.02%;5.68%;14.53%;-0.40%;13.32%;-2.14%;-1.31%;-2.10%;1.24%;0.39%;6.24%;
28.02.2007;1.23%;7.34%;-0.78%;-1.71%;0.20%;0.70%;-4.81%;-3.40%;0.03%;4.55%;-3.75%;-12.27%;-3.65%;-0.15%;0.62%;4.49%;0.87%;-3.78%;4.79%;5.46%;-3.14%;-1.45%;-0.56%;-0.72%;0.54%;-13.73%;5.69%;2.24%;-7.15%;6.19%;-0.74%;-5.69%;-4.10%;-1.79%;-0.06%;-4.00%;1.37%;2.45%;3.84%;4.32%;-7.80%;-2.95%;8.12%;14.54%;2.42%;5.41%;0.70%;-2.82%;-0.60%;5.83%;
31.03.2007;-1.11%;7.19%;0.01%;-3.64%;-1.14%;5.32%;-2.19%;-1.90%;7.80%;2.31%;5.90%;-13.25%;2.52%;3.46%;6.36%;4.53%;7.21%;-6.78%;3.37%;6.74%;0.14%;2.61%;-5.62%;4.70%;-2.17%;2.81%;-0.85%;-0.64%;1.86%;-6.25%;-0.27%;7.00%;1.99%;1.75%;6.91%;-5.04%;-3.08%;3.31%;-3.40%;8.26%;-1.16%;-0.38%;2.67%;0.27%;13.15%;0.38%;0.41%;-3.27%;-3.71%;5.17%;
30.04.2007;-0.31%;5.45%;9.09%;5.81%;3.97%;7.89%;0.73%;7.59%;27.36%;4.04%;5.10%;0.82%;-1.41%;6.84%;0.39%;7.17%;7.68%;0.24%;-2.13%;3.32%;0.14%;4.13%;2.70%;-0.16%;3.12%;17.00%;3.13%;4.96%;-4.11%;9.88%;5.11%;-1.65%;12.43%;0.08%;4.67%;-10.02%;-0.55%;2.15%;13.31%;4.69%;6.71%;5.86%;5.50%;6.17%;-4.82%;0.26%;1.41%;-2.61%;-4.81%;0.75%;
31.05.2007;3.58%;-9.46%;2.96%;0.95%;1.95%;0.37%;-1.60%;0.40%;2.25%;-1.46%;7.91%;5.37%;4.01%;4.53%;-4.76%;11.31%;-2.27%;-1.26%;3.77%;1.15%;-1.72%;2.85%;1.26%;-6.13%;8.16%;-8.04%;7.69%;2.49%;10.06%;13.20%;3.38%;6.43%;2.04%;-2.83%;3.53%;5.53%;14.29%;4.22%;-0.79%;3.37%;-0.87%;8.49%;-2.46%;-3.22%;7.41%;0.09%;2.11%;4.94%;1.20%;-1.42%;
30.06.2007;1.53%;-5.26%;-2.38%;-7.65%;3.05%;-0.88%;-11.71%;-4.45%;7.63%;-5.50%;-3.30%;-14.15%;2.58%;-8.81%;-6.52%;-3.69%;-2.77%;-8.59%;7.29%;-5.83%;-12.82%;-4.44%;1.25%;2.39%;2.23%;-15.37%;0.93%;-2.14%;-10.67%;-1.24%;-1.29%;-13.16%;-4.39%;-14.17%;0.56%;4.17%;2.51%;-2.16%;-6.11%;10.92%;0.19%;-4.00%;3.29%;-3.93%;-3.01%;-1.07%;-6.29%;1.85%;-3.31%;-2.96%;
31.07.2007;21.71%;1.54%;1.40%;-0.91%;7.97%;-6.36%;-6.85%;-8.96%;17.28%;-6.05%;-5.93%;-18.11%;-0.29%;-2.81%;-3.19%;-5.25%;7.73%;-6.75%;-3.45%;-6.15%;-2.04%;-8.15%;-14.55%;-6.35%;-6.05%;-11.33%;-4.74%;-14.98%;-14.01%;-10.70%;-2.39%;-13.50%;-13.89%;-5.95%;0.21%;-6.88%;0.79%;5.04%;3.60%;-12.33%;-1.68%;-8.41%;-10.75%;-16.43%;-11.72%;4.52%;-6.62%;-7.16%;2.23%;1.24%;
31.08.2007;-0.35%;0.30%;2.28%;5.84%;4.21%;4.11%;5.91%;7.50%;-0.24%;0.99%;-2.73%;-7.41%;-3.14%;3.08%;5.17%;-0.34%;-2.99%;9.49%;-9.18%;1.14%;11.88%;0.22%;-10.36%;2.61%;6.57%;9.77%;3.34%;1.49%;11.10%;-3.00%;-1.60%;5.38%;-2.86%;7.78%;-3.83%;-6.03%;0.67%;5.63%;-6.40%;-1.43%;-8.46%;2.55%;-5.10%;-5.97%;-9.36%;11.60%;0.14%;-2.53%;4.75%;-8.42%;
30.09.2007;-8.96%;-1.51%;7.42%;3.39%;8.61%;2.78%;3.83%;2.78%;8.24%;3.38%;7.51%;-14.45%;3.57%;1.32%;2.03%;5.20%;-0.04%;-0.19%;14.63%;3.91%;5.39%;1.23%;-1.34%;14.77%;-5.41%;22.43%;-8.59%;8.36%;0.52%;-6.88%;7.83%;12.42%;-23.22%;-0.83%;3.69%;-6.22%;-0.94%;3.49%;1.71%;-2.37%;11.08%;-1.08%;-7.32%;-0.43%;6.88%;0.78%;1.93%;-3.99%;-2.07%;4.87%;
31.10.2007;-14.79%;8.16%;10.06%;4.28%;0.49%;6.96%;4.97%;-7.42%;-6.20%;0.89%;-19.88%;-0.94%;-9.72%;3.52%;1.71%;5.41%;0.48%;5.83%;2.87%;10.04%;0.27%;4.56%;7.13%;11.36%;-2.67%;21.12%;5.40%;-5.46%;4.31%;4.97%;13.96%;5.37%;-5.60%;2.25%;-1.07%;0.77%;-0.91%;8.11%;0.61%;0.02%;17.42%;3.09%;-10.58%;-4.08%;9.95%;13.79%;-0.95%;1.54%;-4.22%;0.57%;
30.11.2007;-4.89%;1.59%;-0.22%;-0.39%;1.22%;-0.23%;-9.16%;0.50%;-2.55%;2.71%;2.45%;-5.67%;0.61%;-1.11%;2.89%;-3.73%;-3.57%;-15.95%;-11.12%;-1.64%;-5.70%;-5.15%;-12.40%;-2.27%;1.11%;-0.92%;-5.16%;-0.69%;-6.09%;-5.74%;7.69%;-4.53%;-9.58%;7.46%;-8.16%;-10.40%;-1.44%;-10.31%;-1.93%;-8.05%;0.15%;-9.38%;-11.75%;3.85%;-20.23%;-3.06%;-6.63%;-10.00%;-2.34%;18.62%;
31.12.2007;-0.96%;28.14%;0.33%;0.67%;-0.41%;-3.04%;-6.72%;-1.10%;9.19%;0.01%;-11.69%;11.34%;0.03%;-10.38%;2.08%;-4.66%;-4.86%;-6.02%;-10.96%;6.28%;-1.25%;-1.86%;-5.93%;3.39%;1.20%;17.13%;5.16%;-5.44%;-11.47%;-7.51%;-5.45%;0.02%;-6.44%;-1.05%;3.04%;0.69%;2.00%;-1.43%;-0.69%;5.30%;1.64%;-7.04%;-5.05%;-10.43%;23.16%;-1.94%;8.37%;1.98%;-4.20%;-3.50%;
31.01.2008;-0.17%;-5.28%;-2.46%;-16.48%;-8.74%;4.71%;6.88%;-1.64%;-24.08%;-9.84%;3.70%;31.06%;-12.58%;-1.96%;-10.81%;-2.02%;8.90%;7.26%;0.61%;-1.55%;-9.44%;0.74%;-7.30%;-6.24%;-13.56%;19.20%;12.89%;-6.92%;7.16%;7.42%;-3.87%;-1.36%;24.26%;-9.69%;-6.92%;2.74%;-17.49%;-10.59%;1.82%;-9.06%;1.42%;6.59%;6.29%;-1.06%;-10.89%;-7.86%;2.50%;-1.84%;-4.21%;-1.57%;
29.02.2008;4.67%;2.55%;2.16%;-4.56%;1.85%;-2.54%;-6.04%;-3.55%;4.20%;-8.17%;-13.18%;-18.71%;3.03%;-6.62%;-6.15%;-5.00%;-0.39%;1.38%;-6.07%;-5.10%;-2.94%;-0.97%;-9.14%;-6.29%;-3.07%;-17.28%;-11.99%;-4.98%;7.42%;-10.65%;-7.81%;11.64%;-22.69%;-5.93%;-5.19%;-2.99%;-3.85%;1.00%;1.63%;9.43%;-4.35%;-5.49%;9.10%;-10.42%;61.19%;-0.23%;-9.53%;-0.83%;-20.79%;0.45%;
