date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD;portfolio
30.06.2017;2.66%;0.28%;3.65%;-3.67%;-0.69%;2.35%;1.40%;3.38%;3.54%;-1.72%;9.45%;6.08%;-2.30%;-3.41%;-1.53%;-4.14%;4.84%;0.14%;0.64%;0.98%;2.97%;1.32%;7.81%;4.78%;4.56%;-2.64%;7.30%;4.00%;3.37%;1.00%;11.66%;-0.40%;-1.00%;-3.61%;3.76%;3.63%;2.54%;1.91%;-1.86%;-6.89%;10.15%;2.25%;-15.36%;1.83%;-4.38%;-5.21%;0.13%;4.88%;-0.52%;0.80%;
31.07.2017;-4.94%;1.93%;2.66%;3.42%;0.02%;-0.10%;-1.12%;5.87%;3.50%;-0.02%;1.86%;3.24%;4.71%;1.96%;2.52%;1.32%;-0.38%;2.41%;0.63%;9.43%;5.77%;3.43%;-1.41%;-2.58%;3.12%;5.86%;-0.73%;8.11%;-1.76%;3.02%;-9.98%;0.32%;-8.04%;1.84%;-4.28%;-5.59%;1.90%;0.40%;-2.41%;3.02%;4.34%;0.39%;15.18%;-2.81%;8.31%;6.63%;4.59%;5.72%;3.55%;2.83%;
31.08.2017;4.27%;-2.04%;3.51%;6.93%;2.27%;2.58%;-0.26%;0.87%;-5.07%;4.97%;2.87%;1.29%;1.05%;4.91%;1.70%;1.91%;3.66%;1.63%;-6.00%;2.10%;-4.30%;-2.53%;-4.98%;-12.69%;1.22%;3.09%;9.02%;-6.73%;3.74%;1.66%;1.13%;-4.44%;-7.80%;4.52%;-0.88%;0.11%;-0.59%;-0.62%;-4.30%;-14.06%;-0.79%;2.35%;2.95%;-1.51%;23.04%;2.30%;1.48%;1.43%;0.81%;-5.96%;
30.09.2017;6.72%;3.67%;-0.87%;-3.58%;4.02%;1.41%;1.89%;-0.35%;6.16%;-3.89%;-5.47%;10.76%;8.27%;-4.42%;-3.46%;-3.75%;4.98%;-4.49%;15.00%;-4.30%;-2.14%;4.05%;10.88%;-4.95%;3.31%;-15.04%;12.62%;8.28%;0.39%;-2.22%;4.37%;1.69%;8.88%;-6.01%;4.61%;11.73%;9.13%;5.52%;1.45%;0.81%;3.30%;5.32%;4.72%;-1.15%;4.54%;4.17%;-4.28%;4.33%;7.51%;-3.06%;
31.10.2017;-0.39%;-3.86%;3.07%;7.95%;5.43%;2.74%;-0.78%;-7.75%;5.27%;4.43%;1.33%;10.72%;4.49%;3.65%;6.66%;4.33%;0.96%;4.03%;5.42%;6.88%;-2.19%;5.04%;-0.52%;3.16%;5.55%;-2.99%;-4.22%;3.13%;-4.24%;5.76%;1.73%;3.90%;11.66%;3.73%;6.98%;2.84%;12.69%;6.07%;5.89%;1.07%;-3.28%;7.01%;15.24%;1.80%;8.24%;-4.83%;4.06%;8.48%;3.42%;-6.77%;
30.11.2017;7.38%;-2.42%;4.47%;3.18%;2.90%;1.64%;3.47%;6.50%;-5.36%;3.16%;0.38%;15.36%;2.32%;4.63%;3.47%;1.65%;1.72%;-5.88%;5.27%;3.61%;9.70%;5.81%;4.35%;10.22%;6.06%;-12.59%;4.46%;1.41%;0.89%;7.97%;4.56%;-0.57%;4.02%;5.51%;0.52%;10.18%;-3.85%;3.65%;7.38%;10.01%;3.64%;5.00%;-5.64%;3.20%;0.81%;5.56%;5.79%;7.49%;3.14%;4.25%;
31.12.2017;-3.37%;1.32%;0.70%;-7.77%;0.64%;-1.12%;3.71%;1.00%;6.21%;-4.55%;-9.66%;0.38%;3.86%;-5.29%;-3.84%;-22.19%;0.29%;-2.28%;-3.29%;-9.31%;0.45%;2.09%;1.11%;2.47%;-2.66%;-4.32%;3.68%;0.42%;-1.84%;-2.37%;2.60%;10.57%;3.51%;-7.22%;0.36%;-2.20%;2.14%;-3.07%;3.42%;7.30%;2.37%;0.41%;3.63%;2.37%;-1.59%;0.87%;-6.43%;0.65%;0.41%;6.99%;
31.01.2018;8.98%;7.16%;0.48%;-3.31%;3.21%;11.43%;-4.27%;3.27%;6.43%;-5.39%;12.30%;-3.96%;5.17%;-2.73%;-5.40%;-0.19%;7.72%;-2.77%;4.11%;7.45%;-8.36%;0.15%;11.98%;-0.12%;8.72%;-4.67%;5.09%;7.71%;-5.16%;1.87%;5.51%;5.94%;4.31%;-6.14%;1.64%;4.21%;0.48%;8.34%;-1.72%;2.13%;13.35%;-2.04%;9.48%;5.48%;15.39%;6.04%;-3.48%;7.24%;1.98%;-2.63%;
28.02.2018;-3.62%;-3.33%;0.77%;-4.11%;-4.50%;-5.89%;-3.91%;-3.00%;-10.55%;-5.14%;-5.77%;-14.58%;-5.75%;-4.60%;-6.81%;-3.10%;1.92%;-3.93%;1.24%;-1.73%;-5.68%;-5.88%;-2.97%;-9.06%;-4.39%;-5.68%;-1.87%;-7.62%;-9.12%;-14.65%;0.46%;-2.33%;2.06%;-2.89%;-5.30%;-1.40%;-8.36%;-1.81%;-7.06%;-0.46%;-3.65%;-4.24%;-0.96%;-13.05%;-11.68%;1.88%;-2.91%;-3.69%;0.30%;0.70%;
31.03.2018;-0.93%;5.27%;-0.96%;4.29%;-1.09%;-4.06%;3.66%;-0.44%;-2.99%;7.59%;-0.74%;4.92%;-1.43%;3.59%;5.04%;5.07%;4.45%;7.53%;-1.58%;6.41%;1.90%;-1.41%;-3.82%;-3.79%;4.17%;-2.15%;-1.00%;-4.08%;6.32%;-3.19%;-2.59%;-6.59%;5.93%;3.69%;-0.36%;1.93%;-3.22%;2.04%;-7.34%;-1.17%;-6.05%;-3.76%;0.89%;-2.80%;-12.59%;1.81%;5.29%;-10.07%;-3.07%;2.84%;
