Date,Top Performers,Bottom Performers
2009-09,"COO, VMC, BXP, ROP, TTWO, ESS, PPG, ROL, AFL, IEX","MHK, RHI, BRO, DHI, FRT, CMI, HOLX, NTRS, CHD, PNW"
2009-10,"SWK, DTE, SNA, AOS, ADM, IEX, CHD, HOLX, TER, LNC","MHK, ATO, EMN, AVY, CINF, ROP, CMS, ED, SJM, APD"
2009-11,"FRT, DOV, DTE, MAA, APD, SWK, GL, CMS, EIX, AEE","LNC, RHI, BRO, HOLX, ROL, ATO, STT, NTRS, SNA, FE"
2009-12,"NUE, INCY, FE, VMC, ROL, ROK, DTE, ATO, LNC, BAX","ROP, HOLX, EMN, BXP, FDS, HBAN, AVY, APD, TTWO, PPG"
2010-01,"DHI, AFL, HBAN, HOLX, DOV, ROK, GL, CINF, ROL, INCY","MHK, TER, NUE, AVY, AOS, CMI, STT, BAX, LNC, CHD"
2010-02,"POOL, ROL, ESS, FRT, TER, AOS, DOV, NTRS, EMN, FDS","AVY, ED, EIX, ADM, FE, VMC, BAX, SJM, ATO, INCY"
2010-03,"NUE, RHI, CMI, VMC, APD, CINF, HOLX, BRO, PPG, EMN","BXP, AFL, SJM, JBHT, STT, SWK, COO, ADM, MAA, CHD"
2010-04,"TTWO, TER, DTE, POOL, SWK, AVY, ROK, PPG, FRT, MAA","INCY, ADM, FE, BAX, RHI, AOS, PNW, LNC, CINF, NTRS"
2010-05,"TTWO, MAA, EMN, CMS, SJM, ADM, FDS, AOS, PPG, HBAN","AVY, STT, ROK, MHK, VMC, BAX, SWK, TER, APD, ESS"
2010-06,"SJM, COO, PNW, AOS, ADM, ED, FE, ATO, CMS, DTE","INCY, VMC, EMN, STT, TER, NUE, HBAN, EIX, BRO, FDS"
2010-07,"MAA, HBAN, SNA, ESS, CMS, JBHT, AEE, BAX, CINF, GL","DHI, FDS, ROP, AVY, TER, ROK, HOLX, NTRS, POOL, COO"
2010-08,"CMS, PNW, COO, ED, ADM, AEE, APD, EIX, DTE, FRT","VMC, POOL, TER, RHI, HBAN, LNC, FDS, NTRS, EMN, BXP"
2010-09,"POOL, DHI, CINF, GL, HBAN, STT, FE, BRO, CHD, JBHT","ROP, BAX, APD, PPG, FDS, AFL, EIX, AEE, VMC, DTE"
2010-10,"SNA, EIX, FDS, GL, AFL, MHK, BAX, EMN, COO, ROP","POOL, HOLX, DHI, FE, AOS, CMI, AVY, VMC, HBAN, PNW"
2010-11,"VMC, COO, ROK, AOS, TER, POOL, ROP, IEX, SNA, TTWO","CMS, ADM, INCY, ESS, SJM, NUE, EMN, CHD, AEE, PNW"
2010-12,"ROK, PPG, EMN, MHK, SNA, STT, DOV, FE, POOL, CHD","VMC, RHI, TTWO, AFL, NTRS, ROL, DTE, FRT, AOS, AEE"
2011-01,"DOV, SWK, ADM, POOL, FDS, HOLX, FE, NUE, HBAN, CMS","VMC, ROL, CMI, BAX, APD, MHK, INCY, PNW, AVY, CHD"
2011-02,"CHD, BAX, ROP, ROK, COO, VMC, ESS, CINF, BRO, APD","HBAN, AOS, AVY, CMI, DHI, STT, FE, AEE, CMS, NTRS"
2011-03,"AOS, JBHT, CMI, PPG, ROK, EMN, IEX, AVY, CHD, MHK","HBAN, ADM, APD, NTRS, EIX, DHI, BRO, MAA, BXP, FE"
2011-04,"CMI, EMN, EIX, FRT, COO, FE, IEX, DHI, APD, AFL","SWK, CINF, MHK, NTRS, VMC, RHI, AOS, HOLX, PPG, AVY"
2011-05,"SJM, PNW, BAX, BXP, MAA, DTE, BRO, FE, MHK, CHD","ADM, CMI, VMC, STT, EMN, DOV, GL, TER, APD, POOL"
2011-06,"INCY, COO, ROK, SNA, PPG, JBHT, AOS, ROL, ED, DOV","MAA, EIX, PNW, STT, RHI, CMI, POOL, HBAN, ROP, CMS"
2011-07,"MAA, ESS, FRT, DHI, SJM, BXP, CMI, RHI, AEE, FE","VMC, DOV, POOL, FDS, AOS, NTRS, AFL, ED, EIX, CHD"
2011-08,"ROL, CHD, ED, PNW, AEE, FRT, CMS, ESS, VMC, CINF","RHI, DHI, CMI, JBHT, ROK, HOLX, TER, IEX, COO, FE"
2011-09,"COO, EIX, FE, ED, CHD, SJM, CMS, POOL, FDS, BAX","INCY, ADM, NUE, ROK, CMI, RHI, ROP, ROL, JBHT, AEE"
2011-10,"HBAN, FRT, AEE, DTE, EIX, AVY, PNW, HOLX, ATO, SJM","FDS, BXP, POOL, CINF, ED, FE, COO, BAX, INCY, CHD"
2011-11,"HOLX, JBHT, DHI, LNC, AOS, AEE, ROP, PNW, GL, POOL","APD, COO, TTWO, STT, AVY, SJM, FE, DOV, FRT, ATO"
2011-12,"MHK, AVY, MAA, INCY, BRO, RHI, CMS, DOV, DHI, ESS","LNC, TTWO, AEE, ROK, ATO, EMN, JBHT, POOL, SNA, HOLX"
2012-01,"DOV, IEX, CINF, ROP, PPG, ROK, AOS, GL, BXP, HBAN","ROL, AEE, ATO, RHI, STT, PNW, DTE, CMS, CHD, EIX"
2012-02,"SWK, ADM, SNA, NTRS, STT, CINF, EMN, POOL, AOS, GL","ESS, BXP, NUE, AFL, CMS, ROP, ED, MAA, FDS, TTWO"
2012-03,"SJM, ROP, ESS, STT, MAA, RHI, NTRS, JBHT, LNC, DHI","EMN, VMC, AFL, CINF, NUE, DOV, AVY, AOS, TTWO, CMI"
2012-04,"PPG, COO, DHI, AVY, AOS, FDS, ESS, EMN, FRT, CMS","ROK, ADM, GL, SJM, AFL, HOLX, RHI, POOL, DOV, ROL"
2012-05,"CHD, ADM, JBHT, PNW, EIX, ATO, MHK, DHI, ED, CMS","TER, EMN, HOLX, AFL, STT, PPG, AEE, ROP, FE, ROL"
2012-06,"POOL, GL, STT, EMN, HOLX, AFL, ATO, BRO, NTRS, INCY","AVY, DOV, SWK, TER, ROP, HBAN, TTWO, FDS, IEX, SJM"
2012-07,"SNA, ROL, FRT, CMS, TER, SWK, NUE, DTE, EMN, CHD","RHI, MHK, DHI, VMC, HBAN, IEX, ADM, GL, CMI, NTRS"
2012-08,"MHK, DHI, ROK, POOL, TER, DOV, HOLX, HBAN, EMN, AFL","PNW, RHI, ATO, INCY, FE, SWK, ROL, MAA, FDS, FRT"
2012-09,"DHI, ROP, POOL, AOS, PPG, FDS, IEX, HBAN, AFL, EIX","ESS, FRT, CINF, BXP, CHD, JBHT, BRO, ED, AEE, NTRS"
2012-10,"SNA, STT, TTWO, CINF, NUE, AOS, BAX, DTE, EMN, MHK","ROL, VMC, DOV, BRO, INCY, GL, ADM, MAA, SJM, ROP"
2012-11,"DOV, APD, TER, CHD, AFL, IEX, PPG, BAX, RHI, BRO","EIX, MAA, ATO, DTE, PNW, COO, ADM, POOL, STT, LNC"
2012-12,"PPG, TER, ROK, STT, MHK, HOLX, LNC, NUE, NTRS, AVY","PNW, DTE, EIX, GL, CHD, FE, CMS, SNA, ROP, FRT"
2013-01,"AOS, HBAN, COO, CINF, VMC, POOL, CHD, GL, NUE, EIX","AVY, RHI, INCY, TTWO, PPG, MAA, BXP, TER, FE, AFL"
2013-02,"SJM, MAA, CHD, ROP, AVY, CINF, DOV, PNW, DTE, FDS","PPG, NUE, EMN, BXP, APD, SNA, ROL, BAX, EIX, POOL"
2013-03,"DHI, FE, BAX, JBHT, BRO, MHK, ADM, GL, RHI, CMS","ROL, CMI, EMN, FDS, ROK, TER, BXP, MAA, DOV, PPG"
2013-04,"PPG, FRT, BXP, DTE, EIX, DHI, CMS, PNW, ESS, AEE","IEX, HBAN, RHI, MHK, ROK, CHD, ROL, NTRS, STT, MAA"
2013-05,"TER, TTWO, APD, HBAN, NTRS, EMN, VMC, IEX, RHI, SWK","ADM, ATO, CHD, CINF, BXP, SJM, FE, EIX, ED, MAA"
2013-06,"ADM, COO, AFL, EIX, FDS, ED, ROL, SJM, LNC, POOL","AVY, BAX, SNA, STT, BXP, INCY, NTRS, DOV, MAA, BRO"
2013-07,"PPG, HBAN, GL, SJM, NUE, ATO, CINF, ADM, STT, FDS","SWK, FE, NTRS, ROP, POOL, TER, DHI, VMC, ROL, MAA"
2013-08,"INCY, TTWO, COO, AOS, CMI, VMC, LNC, SWK, ROK, ATO","PPG, DHI, ESS, ROP, FE, SNA, POOL, MHK, DOV, IEX"
2013-09,"IEX, DHI, VMC, CMI, POOL, AFL, NUE, TER, AOS, ROL","STT, DTE, FE, TTWO, ED, NTRS, CMS, COO, SJM, LNC"
2013-10,"ESS, PPG, CHD, HOLX, AVY, LNC, EIX, HBAN, CINF, STT","CMI, POOL, BXP, DHI, SWK, TTWO, RHI, BRO, COO, FDS"
2013-11,"MHK, VMC, AOS, DHI, CINF, NTRS, GL, CMI, HBAN, BAX","CMS, EMN, FE, ADM, NUE, DOV, AEE, BRO, APD, FRT"
2013-12,"RHI, INCY, ROL, ADM, CMI, ROP, DOV, MHK, TTWO, VMC","FDS, FRT, SWK, PNW, BRO, DTE, AOS, HOLX, CINF, SJM"
2014-01,"FRT, TER, MAA, AEE, ATO, DHI, EIX, VMC, CMS, DTE","IEX, NTRS, AOS, DOV, ED, AVY, BAX, ROP, PNW, RHI"
2014-02,"DOV, EIX, PPG, POOL, TER, SWK, ROK, PNW, AEE, MAA","JBHT, ATO, CINF, FE, RHI, INCY, STT, ROP, MHK, FDS"
2014-03,"EIX, ADM, COO, NTRS, STT, BAX, POOL, HBAN, DOV, CMS","INCY, DHI, TER, PPG, APD, PNW, ROP, EMN, HOLX, AFL"
2014-04,"ATO, ED, RHI, SWK, DOV, DTE, JBHT, ROP, CMS, FRT","HOLX, TER, FDS, FE, APD, SJM, ROL, AFL, BAX, CHD"
2014-05,"DHI, SJM, AOS, MAA, ESS, AVY, PPG, IEX, BXP, ADM","DTE, EIX, AFL, POOL, COO, NUE, ATO, CMS, PNW, LNC"
2014-06,"TTWO, ATO, LNC, APD, NTRS, ED, PNW, EIX, IEX, RHI","AOS, JBHT, BAX, NUE, BXP, CINF, ROL, POOL, ADM, EMN"
2014-07,"ADM, STT, NTRS, JBHT, BAX, HBAN, ESS, APD, HOLX, NUE","CINF, POOL, ED, DHI, INCY, ROK, FE, ROP, VMC, FDS"
2014-08,"FE, NUE, EIX, PNW, ADM, CMS, CHD, FDS, DTE, BRO","AVY, IEX, BXP, COO, APD, VMC, BAX, HBAN, HOLX, JBHT"
2014-09,"CHD, ADM, STT, INCY, MAA, CMI, DOV, MHK, ESS, AVY","JBHT, EMN, NTRS, TTWO, ROL, HBAN, BRO, ED, FE, NUE"
2014-10,"SNA, DTE, ROL, CINF, ROP, FDS, JBHT, HOLX, MAA, SWK","BXP, GL, EMN, NUE, ADM, TER, NTRS, BAX, DOV, BRO"
2014-11,"MHK, TER, PPG, VMC, APD, CHD, AVY, MAA, TTWO, FDS","AFL, DOV, SJM, FE, DTE, NUE, POOL, CMI, ED, ROP"
2014-12,"PNW, POOL, AEE, FE, DTE, PPG, CMS, ED, AVY, AOS","SJM, ROP, ADM, BXP, DHI, NTRS, VMC, CMI, TER, HOLX"
2015-01,"INCY, CMS, FRT, VMC, MHK, MAA, TTWO, AOS, ED, EIX","LNC, NUE, ADM, SWK, POOL, CINF, ROP, AEE, RHI, ROL"
2015-02,"HBAN, AFL, ROP, FDS, NUE, INCY, ROK, JBHT, APD, IEX","CMS, ATO, AEE, EIX, FE, TTWO, BAX, ESS, FRT, BXP"
2015-03,"INCY, MAA, ATO, DHI, AOS, FRT, AFL, BRO, ESS, GL","DTE, STT, AVY, BAX, PNW, AEE, ADM, ROK, LNC, NTRS"
2015-04,"DOV, INCY, AVY, NTRS, STT, SWK, NUE, ADM, GL, FE","DHI, EIX, PPG, LNC, AFL, HBAN, FDS, IEX, DTE, CMI"
2015-05,"ADM, MHK, HOLX, VMC, FDS, ROP, SNA, SWK, ROK, CHD","BAX, CMI, AEE, BXP, AFL, FE, DTE, DOV, EIX, CINF"
2015-06,"EMN, HOLX, POOL, BAX, DHI, LNC, SNA, SWK, NTRS, MHK","CHD, CMI, COO, JBHT, AVY, ROP, FDS, RHI, STT, CINF"
