date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD
31.10.2003;12.93%;9.39%;12.87%;5.54%;1.13%;-8.60%;3.21%;3.08%;6.61%;10.11%;6.56%;21.64%;10.25%;1.35%;-0.78%;3.12%;-1.96%;-3.39%;-1.67%;7.74%;4.28%;7.90%;9.68%;-0.07%;1.96%;13.97%;-3.16%;12.79%;3.97%;3.86%;10.17%;19.96%;25.98%;2.92%;10.33%;21.01%;18.22%;13.41%;6.04%;3.75%;16.65%;12.87%;22.40%;10.95%;16.18%;13.83%;2.27%;4.01%;-1.14%;6.45%
30.11.2003;11.49%;-0.49%;-1.47%;-1.23%;5.50%;4.60%;4.45%;-0.83%;-2.07%;-2.90%;4.99%;9.94%;-1.68%;2.18%;-0.49%;3.53%;9.82%;6.73%;-5.09%;0.69%;3.51%;0.70%;1.74%;10.52%;6.52%;14.51%;3.48%;-0.99%;6.52%;-2.82%;-3.53%;2.26%;2.04%;8.95%;1.35%;-5.79%;7.02%;1.57%;2.25%;4.86%;-2.74%;-1.96%;10.42%;0.29%;-16.72%;9.58%;0.54%;4.68%;3.21%;8.62%
31.12.2003;-0.34%;6.88%;0.73%;4.16%;10.12%;9.63%;4.11%;2.50%;5.99%;7.90%;3.16%;-1.09%;3.88%;4.40%;8.11%;7.31%;10.74%;0.34%;-7.76%;2.62%;-2.42%;3.19%;2.24%;14.61%;5.26%;12.98%;2.70%;2.88%;2.11%;-2.22%;3.02%;-0.28%;-8.85%;1.57%;10.25%;4.77%;7.54%;-1.84%;8.23%;-0.95%;2.12%;16.62%;1.03%;7.50%;-13.01%;1.37%;-0.25%;1.63%;3.85%;-2.12%
31.01.2004;-11.03%;2.82%;1.86%;6.42%;-5.19%;-2.63%;5.12%;4.32%;3.59%;2.98%;2.69%;-2.64%;3.88%;0.50%;1.84%;0.25%;2.02%;-2.13%;-0.49%;6.52%;8.84%;4.10%;-0.04%;1.50%;0.19%;30.34%;-2.66%;9.29%;2.70%;-1.43%;2.92%;0.84%;-2.00%;-1.99%;-9.11%;0.57%;-8.58%;-1.63%;-3.45%;2.80%;3.63%;-0.04%;5.63%;0.20%;0.55%;12.13%;5.28%;11.64%;6.22%;0.56%
29.02.2004;0.06%;9.77%;10.05%;-1.90%;-3.41%;-0.16%;2.34%;3.82%;-2.68%;4.72%;-2.31%;13.38%;-5.21%;3.42%;0.72%;5.86%;6.11%;1.26%;-3.27%;2.90%;2.51%;10.07%;3.52%;14.10%;2.44%;-3.20%;3.97%;6.01%;5.66%;19.66%;4.55%;11.64%;13.04%;0.69%;0.73%;-4.40%;-6.54%;0.25%;2.67%;8.50%;-0.28%;2.18%;-8.42%;-0.90%;7.87%;-8.24%;2.87%;1.89%;6.40%;4.53%
31.03.2004;-7.00%;-1.57%;-1.02%;-2.85%;3.81%;5.99%;5.92%;-3.53%;18.91%;-2.81%;14.05%;11.36%;-0.78%;1.62%;1.07%;5.11%;0.69%;3.93%;15.66%;2.09%;9.00%;3.11%;-4.85%;1.16%;1.98%;-3.91%;2.80%;1.83%;3.45%;-1.23%;-6.25%;-2.35%;2.70%;0.58%;-0.03%;5.03%;14.31%;-0.71%;1.78%;4.77%;-3.07%;10.11%;-3.42%;0.77%;17.45%;11.12%;-1.92%;-1.92%;5.16%;4.02%
30.04.2004;3.20%;4.01%;5.13%;-3.95%;-0.24%;2.38%;-12.52%;-0.78%;2.25%;-7.23%;-0.08%;-18.79%;3.17%;-4.08%;-6.63%;-2.92%;0.78%;-5.88%;-6.66%;-0.03%;-18.94%;-3.13%;-2.18%;-0.57%;8.59%;-4.41%;12.35%;-5.24%;-13.22%;-6.41%;-9.14%;-3.13%;7.84%;-0.82%;1.65%;15.37%;-5.79%;0.54%;4.37%;-0.99%;-6.20%;0.20%;-14.56%;-2.61%;-21.55%;-7.92%;-3.72%;3.77%;0.56%;3.71%
31.05.2004;-1.09%;-5.36%;-3.92%;1.04%;0.26%;-0.72%;4.96%;4.64%;-2.68%;3.67%;2.16%;0.29%;-2.73%;2.99%;-4.79%;3.10%;8.80%;7.49%;9.87%;-0.32%;7.55%;4.07%;6.34%;1.97%;1.21%;-9.87%;3.35%;6.50%;11.34%;-3.82%;1.69%;10.80%;0.04%;4.27%;0.77%;2.54%;3.52%;9.23%;-0.50%;-6.56%;-0.84%;2.39%;9.31%;-3.26%;2.99%;2.63%;0.55%;-8.14%;2.43%;0.94%
30.06.2004;7.87%;1.27%;0.68%;-2.89%;4.88%;9.68%;1.38%;1.72%;7.82%;5.84%;14.36%;-1.54%;8.41%;0.74%;2.65%;5.84%;-0.32%;4.19%;8.23%;-3.23%;4.16%;-0.80%;0.84%;13.00%;7.94%;6.48%;17.87%;-0.59%;7.32%;-1.31%;-1.64%;16.49%;12.01%;0.17%;5.22%;6.56%;11.26%;7.38%;0.46%;-5.72%;1.20%;4.58%;1.76%;6.78%;2.84%;-5.50%;4.51%;9.02%;7.91%;0.94%
31.07.2004;-9.76%;-8.15%;-2.97%;5.44%;-0.88%;-12.97%;6.91%;-7.87%;10.99%;-1.20%;-5.94%;-2.81%;-5.85%;0.27%;2.94%;5.54%;-2.53%;-2.57%;-8.82%;4.42%;2.55%;-2.73%;7.06%;-14.42%;-6.68%;-19.86%;-0.54%;-7.61%;-5.48%;0.19%;-4.72%;9.18%;-8.48%;0.17%;-5.76%;-6.65%;-0.37%;-1.68%;-4.39%;-9.03%;-12.52%;-6.52%;-24.77%;0.05%;1.86%;0.51%;-1.78%;-5.47%;-1.45%;-3.59%
