Date,Top Performers,Bottom Performers
2009-04,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2009-05,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2009-06,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2009-07,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2009-08,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2009-09,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2009-10,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2009-11,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2009-12,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2010-01,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-02,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-03,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-04,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-05,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-06,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-07,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-08,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-09,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-10,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-11,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2010-12,"INCY, CMI, AFL, EMN, JBHT, SJM, FDS, MHK, LNC, APD","ESS, EIX, POOL, HOLX, AVY, DHI, CINF, BRO, AEE, HBAN"
2011-01,"INCY, CMI, EMN, COO, FDS, MAA, AOS, TER, SWK, JBHT","NUE, BAX, NTRS, EIX, VMC, STT, ADM, HOLX, AEE, FE"
2011-02,"INCY, CMI, EMN, COO, FDS, MAA, AOS, TER, SWK, JBHT","NUE, BAX, NTRS, EIX, VMC, STT, ADM, HOLX, AEE, FE"
2011-03,"INCY, CMI, EMN, COO, FDS, MAA, AOS, TER, SWK, JBHT","NUE, BAX, NTRS, EIX, VMC, STT, ADM, HOLX, AEE, FE"
